tick,node_id,x,y,energy,role,cluster_id
15,1,10.0,10.0,455,leader,1
15,2,12.0,11.0,285,member,1
15,3,8.0,9.0,185,member,1
15,4,10.0,15.0,85,member,1
15,5,14.0,8.0,385,member,1
15,6,50.0,50.0,555,leader,6
15,7,48.0,52.0,235,member,6
15,8,53.0,49.0,135,member,6
15,9,45.0,45.0,285,member,6
15,10,100.0,100.0,185,isolated,10
16,1,10.0,10.0,452,leader,1
16,2,12.0,11.0,284,member,1
16,3,8.0,9.0,184,member,1
16,4,10.0,15.0,84,member,1
16,5,14.0,8.0,384,member,1
16,6,50.0,50.0,552,leader,6
16,7,48.0,52.0,234,member,6
16,8,53.0,49.0,134,member,6
16,9,45.0,45.0,284,member,6
16,10,100.0,100.0,184,isolated,10
17,1,10.0,10.0,449,leader,1
17,2,12.0,11.0,283,member,1
17,3,8.0,9.0,183,member,1
17,4,10.0,15.0,83,member,1
17,5,14.0,8.0,383,member,1
17,6,50.0,50.0,549,leader,6
17,7,48.0,52.0,233,member,6
17,8,53.0,49.0,133,member,6
17,9,45.0,45.0,283,member,6
17,10,100.0,100.0,183,isolated,10
18,1,10.0,10.0,446,leader,1
18,2,12.0,11.0,282,member,1
18,3,8.0,9.0,182,member,1
18,4,10.0,15.0,82,member,1
18,5,14.0,8.0,382,member,1
18,6,50.0,50.0,546,leader,6
18,7,48.0,52.0,232,member,6
18,8,53.0,49.0,132,member,6
18,9,45.0,45.0,282,member,6
18,10,100.0,100.0,182,isolated,10
19,1,10.0,10.0,443,leader,1
19,2,12.0,11.0,281,member,1
19,3,8.0,9.0,181,member,1
19,4,10.0,15.0,81,member,1
19,5,14.0,8.0,381,member,1
19,6,50.0,50.0,543,leader,6
19,7,48.0,52.0,231,member,6
19,8,53.0,49.0,131,member,6
19,9,45.0,45.0,281,member,6
19,10,100.0,100.0,181,isolated,10
20,1,10.0,10.0,440,leader,1
20,2,12.0,11.0,280,member,1
20,3,8.0,9.0,180,member,1
20,4,10.0,15.0,80,member,1
20,5,14.0,8.0,380,member,1
20,6,50.0,50.0,540,leader,6
20,7,48.0,52.0,230,member,6
20,8,53.0,49.0,130,member,6
20,9,45.0,45.0,280,member,6
20,10,100.0,100.0,180,isolated,10
21,1,10.0,10.0,437,leader,1
21,2,12.0,11.0,279,member,1
21,3,8.0,9.0,179,member,1
21,4,10.0,15.0,79,member,1
21,5,14.0,8.0,379,member,1
21,6,50.0,50.0,537,leader,6
21,7,48.0,52.0,229,member,6
21,8,53.0,49.0,129,member,6
21,9,45.0,45.0,279,member,6
21,10,100.0,100.0,179,isolated,10
22,1,10.0,10.0,434,leader,1
22,2,12.0,11.0,278,member,1
22,3,8.0,9.0,178,member,1
22,4,10.0,15.0,78,member,1
22,5,14.0,8.0,378,member,1
22,6,50.0,50.0,534,leader,6
22,7,48.0,52.0,228,member,6
22,8,53.0,49.0,128,member,6
22,9,45.0,45.0,278,member,6
22,10,100.0,100.0,178,isolated,10
23,1,10.0,10.0,431,leader,1
23,2,12.0,11.0,277,member,1
23,3,8.0,9.0,177,member,1
23,4,10.0,15.0,77,member,1
23,5,14.0,8.0,377,member,1
23,6,50.0,50.0,531,leader,6
23,7,48.0,52.0,227,member,6
23,8,53.0,49.0,127,member,6
23,9,45.0,45.0,277,member,6
23,10,100.0,100.0,177,isolated,10
24,1,10.0,10.0,428,leader,1
24,2,12.0,11.0,276,member,1
24,3,8.0,9.0,176,member,1
24,4,10.0,15.0,76,member,1
24,5,14.0,8.0,376,member,1
24,6,50.0,50.0,528,leader,6
24,7,48.0,52.0,226,member,6
24,8,53.0,49.0,126,member,6
24,9,45.0,45.0,276,member,6
24,10,100.0,100.0,176,isolated,10
25,1,10.0,10.0,425,leader,1
25,2,12.0,11.0,275,member,1
25,3,8.0,9.0,175,member,1
25,4,10.0,15.0,75,member,1
25,5,14.0,8.0,375,member,1
25,6,50.0,50.0,525,leader,6
25,7,48.0,52.0,225,member,6
25,8,53.0,49.0,125,member,6
25,9,45.0,45.0,275,member,6
25,10,100.0,100.0,175,isolated,10
26,1,10.0,10.0,422,leader,1
26,2,12.0,11.0,274,member,1
26,3,8.0,9.0,174,member,1
26,4,10.0,15.0,74,member,1
26,5,14.0,8.0,374,member,1
26,6,50.0,50.0,522,leader,6
26,7,48.0,52.0,224,member,6
26,8,53.0,49.0,124,member,6
26,9,45.0,45.0,274,member,6
26,10,100.0,100.0,174,isolated,10
27,1,10.0,10.0,419,leader,1
27,2,12.0,11.0,273,member,1
27,3,8.0,9.0,173,member,1
27,4,10.0,15.0,73,member,1
27,5,14.0,8.0,373,member,1
27,6,50.0,50.0,519,leader,6
27,7,48.0,52.0,223,member,6
27,8,53.0,49.0,123,member,6
27,9,45.0,45.0,273,member,6
27,10,100.0,100.0,173,isolated,10
28,1,10.0,10.0,416,leader,1
28,2,12.0,11.0,272,member,1
28,3,8.0,9.0,172,member,1
28,4,10.0,15.0,72,member,1
28,5,14.0,8.0,372,member,1
28,6,50.0,50.0,516,leader,6
28,7,48.0,52.0,222,member,6
28,8,53.0,49.0,122,member,6
28,9,45.0,45.0,272,member,6
28,10,100.0,100.0,172,isolated,10
29,1,10.0,10.0,413,leader,1
29,2,12.0,11.0,271,member,1
29,3,8.0,9.0,171,member,1
29,4,10.0,15.0,71,member,1
29,5,14.0,8.0,371,member,1
29,6,50.0,50.0,513,leader,6
29,7,48.0,52.0,221,member,6
29,8,53.0,49.0,121,member,6
29,9,45.0,45.0,271,member,6
29,10,100.0,100.0,171,isolated,10
30,1,10.0,10.0,410,leader,1
30,2,12.0,11.0,270,member,1
30,3,8.0,9.0,170,member,1
30,4,10.0,15.0,70,member,1
30,5,14.0,8.0,370,member,1
30,6,50.0,50.0,510,leader,6
30,7,48.0,52.0,220,member,6
30,8,53.0,49.0,120,member,6
30,9,45.0,45.0,270,member,6
30,10,100.0,100.0,170,isolated,10
31,1,10.0,10.0,407,leader,1
31,2,12.0,11.0,269,member,1
31,3,8.0,9.0,169,member,1
31,4,10.0,15.0,69,member,1
31,5,14.0,8.0,369,member,1
31,6,50.0,50.0,507,leader,6
31,7,48.0,52.0,219,member,6
31,8,53.0,49.0,119,member,6
31,9,45.0,45.0,269,member,6
31,10,100.0,100.0,169,isolated,10
32,1,10.0,10.0,404,leader,1
32,2,12.0,11.0,268,member,1
32,3,8.0,9.0,168,member,1
32,4,10.0,15.0,68,member,1
32,5,14.0,8.0,368,member,1
32,6,50.0,50.0,504,leader,6
32,7,48.0,52.0,218,member,6
32,8,53.0,49.0,118,member,6
32,9,45.0,45.0,268,member,6
32,10,100.0,100.0,168,isolated,10
33,1,10.0,10.0,401,leader,1
33,2,12.0,11.0,267,member,1
33,3,8.0,9.0,167,member,1
33,4,10.0,15.0,67,member,1
33,5,14.0,8.0,367,member,1
33,6,50.0,50.0,501,leader,6
33,7,48.0,52.0,217,member,6
33,8,53.0,49.0,117,member,6
33,9,45.0,45.0,267,member,6
33,10,100.0,100.0,167,isolated,10
34,1,10.0,10.0,398,leader,1
34,2,12.0,11.0,266,member,1
34,3,8.0,9.0,166,member,1
34,4,10.0,15.0,66,member,1
34,5,14.0,8.0,366,member,1
34,6,50.0,50.0,498,leader,6
34,7,48.0,52.0,216,member,6
34,8,53.0,49.0,116,member,6
34,9,45.0,45.0,266,member,6
