tick,node_id,x,y,energy,role,cluster_id
0,1,20.0,20.0,1000,leader,1
0,2,22.0,21.0,50,member,1
0,3,18.0,19.0,40,member,1
0,4,25.0,25.0,60,member,1
0,5,15.0,15.0,45,member,1
0,6,20.0,28.0,55,member,1
0,7,28.0,20.0,70,member,1
0,8,16.0,24.0,65,member,1
1,1,20.0,20.0,997,leader,1
1,2,22.0,21.0,49,member,1
1,3,18.0,19.0,39,member,1
1,4,25.0,25.0,59,member,1
1,5,15.0,15.0,44,member,1
1,6,20.0,28.0,54,member,1
1,7,28.0,20.0,69,member,1
1,8,16.0,24.0,64,member,1
2,1,20.0,20.0,994,leader,1
2,2,22.0,21.0,48,member,1
2,3,18.0,19.0,38,member,1
2,4,25.0,25.0,58,member,1
2,5,15.0,15.0,43,member,1
2,6,20.0,28.0,53,member,1
2,7,28.0,20.0,68,member,1
2,8,16.0,24.0,63,member,1
3,1,20.0,20.0,991,leader,1
3,2,22.0,21.0,47,member,1
3,3,18.0,19.0,37,member,1
3,4,25.0,25.0,57,member,1
3,5,15.0,15.0,42,member,1
3,6,20.0,28.0,52,member,1
3,7,28.0,20.0,67,member,1
3,8,16.0,24.0,62,member,1
4,1,20.0,20.0,988,leader,1
4,2,22.0,21.0,46,member,1
4,3,18.0,19.0,36,member,1
4,4,25.0,25.0,56,member,1
4,5,15.0,15.0,41,member,1
4,6,20.0,28.0,51,member,1
4,7,28.0,20.0,66,member,1
4,8,16.0,24.0,61,member,1
5,1,20.0,20.0,985,leader,1
5,2,22.0,21.0,45,member,1
5,3,18.0,19.0,35,member,1
5,4,25.0,25.0,55,member,1
5,5,15.0,15.0,40,member,1
5,6,20.0,28.0,50,member,1
5,7,28.0,20.0,65,member,1
5,8,16.0,24.0,60,member,1
6,1,20.0,20.0,982,leader,1
6,2,22.0,21.0,44,member,1
6,3,18.0,19.0,34,member,1
6,4,25.0,25.0,54,member,1
6,5,15.0,15.0,39,member,1
6,6,20.0,28.0,49,member,1
6,7,28.0,20.0,64,member,1
6,8,16.0,24.0,59,member,1
7,1,20.0,20.0,979,leader,1
7,2,22.0,21.0,43,member,1
7,3,18.0,19.0,33,member,1
7,4,25.0,25.0,53,member,1
7,5,15.0,15.0,38,member,1
7,6,20.0,28.0,48,member,1
7,7,28.0,20.0,63,member,1
7,8,16.0,24.0,58,member,1
8,1,20.0,20.0,976,leader,1
8,2,22.0,21.0,42,member,1
8,3,18.0,19.0,32,member,1
8,4,25.0,25.0,52,member,1
8,5,15.0,15.0,37,member,1
8,6,20.0,28.0,47,member,1
8,7,28.0,20.0,62,member,1
8,8,16.0,24.0,57,member,1
9,1,20.0,20.0,973,leader,1
9,2,22.0,21.0,41,member,1
9,3,18.0,19.0,31,member,1
9,4,25.0,25.0,51,member,1
9,5,15.0,15.0,36,member,1
9,6,20.0,28.0,46,member,1
9,7,28.0,20.0,61,member,1
9,8,16.0,24.0,56,member,1
10,1,20.0,20.0,970,leader,1
10,2,22.0,21.0,40,member,1
10,3,18.0,19.0,30,member,1
10,4,25.0,25.0,50,member,1
10,5,15.0,15.0,35,member,1
10,6,20.0,28.0,45,member,1
10,7,28.0,20.0,60,member,1
10,8,16.0,24.0,55,member,1
11,1,20.0,20.0,967,leader,1
11,2,22.0,21.0,39,member,1
11,3,18.0,19.0,29,member,1
11,4,25.0,25.0,49,member,1
11,5,15.0,15.0,34,member,1
11,6,20.0,28.0,44,member,1
11,7,28.0,20.0,59,member,1
11,8,16.0,24.0,54,member,1
12,1,20.0,20.0,964,leader,1
12,2,22.0,21.0,38,member,1
12,3,18.0,19.0,28,member,1
12,4,25.0,25.0,48,member,1
12,5,15.0,15.0,33,member,1
12,6,20.0,28.0,43,member,1
12,7,28.0,20.0,58,member,1
12,8,16.0,24.0,53,member,1
13,1,20.0,20.0,961,leader,1
13,2,22.0,21.0,37,member,1
13,3,18.0,19.0,27,member,1
13,4,25.0,25.0,47,member,1
13,5,15.0,15.0,32,member,1
13,6,20.0,28.0,42,member,1
13,7,28.0,20.0,57,member,1
13,8,16.0,24.0,52,member,1
14,1,20.0,20.0,958,leader,1
14,2,22.0,21.0,36,member,1
14,3,18.0,19.0,26,member,1
14,4,25.0,25.0,46,member,1
14,5,15.0,15.0,31,member,1
14,6,20.0,28.0,41,member,1
14,7,28.0,20.0,56,member,1
14,8,16.0,24.0,51,member,1
15,1,20.0,20.0,955,leader,1
15,2,22.0,21.0,35,member,1
15,3,18.0,19.0,25,member,1
15,4,25.0,25.0,45,member,1
15,5,15.0,15.0,30,member,1
15,6,20.0,28.0,40,member,1
15,7,28.0,20.0,55,member,1
15,8,16.0,24.0,50,member,1
16,1,20.0,20.0,952,leader,1
16,2,22.0,21.0,34,member,1
16,3,18.0,19.0,24,member,1
16,4,25.0,25.0,44,member,1
16,5,15.0,15.0,29,member,1
16,6,20.0,28.0,39,member,1
16,7,28.0,20.0,54,member,1
16,8,16.0,24.0,49,member,1
17,1,20.0,20.0,949,leader,1
17,2,22.0,21.0,33,member,1
