tick,node_id,x,y,energy,role,cluster_id
16,5,4.0,5.0,34,member,1
16,6,50.0,3.0,82,isolated,6
16,7,22.0,2.0,128,isolated,7
16,8,34.0,33.0,217,member,3
16,9,11.0,39.0,187,leader,9
17,1,2.0,3.0,294,leader,1
17,2,12.0,45.0,217,member,9
17,3,35.0,45.0,482,leader,3
17,4,1.0,38.0,217,member,9
17,5,4.0,5.0,33,member,1
17,6,50.0,3.0,81,isolated,6
17,7,22.0,2.0,127,isolated,7
17,8,34.0,33.0,216,member,3
17,9,11.0,39.0,184,leader,9
18,1,2.0,3.0,291,leader,1
18,2,12.0,45.0,216,member,9
18,3,35.0,45.0,479,leader,3
18,4,1.0,38.0,216,member,9
18,5,4.0,5.0,32,member,1
18,6,50.0,3.0,80,isolated,6
18,7,22.0,2.0,126,isolated,7
18,8,34.0,33.0,215,member,3
18,9,11.0,39.0,181,leader,9
19,1,2.0,3.0,288,leader,1
19,2,12.0,45.0,215,member,9
19,3,35.0,45.0,476,leader,3
19,4,1.0,38.0,215,member,9
19,5,4.0,5.0,31,member,1
19,6,50.0,3.0,79,isolated,6
19,7,22.0,2.0,125,isolated,7
19,8,34.0,33.0,214,member,3
19,9,11.0,39.0,178,leader,9
20,1,2.0,3.0,285,leader,1
20,2,12.0,45.0,214,member,9
20,3,35.0,45.0,473,leader,3
20,4,1.0,38.0,214,member,9
20,5,4.0,5.0,30,member,1
20,6,50.0,3.0,78,isolated,6
20,7,22.0,2.0,124,isolated,7
20,8,34.0,33.0,213,member,3
20,9,11.0,39.0,175,leader,9
21,1,2.0,3.0,282,leader,1
21,2,12.0,45.0,213,member,9
21,3,35.0,45.0,470,leader,3
21,4,1.0,38.0,213,member,9
21,5,4.0,5.0,29,member,1
21,6,50.0,3.0,77,isolated,6
21,7,22.0,2.0,123,isolated,7
21,8,34.0,33.0,212,member,3
21,9,11.0,39.0,172,leader,9
22,1,2.0,3.0,279,leader,1
22,2,12.0,45.0,212,member,9
22,3,35.0,45.0,467,leader,3
22,4,1.0,38.0,212,member,9
22,5,4.0,5.0,28,member,1
22,6,50.0,3.0,76,isolated,6
22,7,22.0,2.0,122,isolated,7
22,8,34.0,33.0,211,member,3
22,9,11.0,39.0,169,leader,9
23,1,2.0,3.0,276,leader,1
23,2,12.0,45.0,211,member,9
23,3,35.0,45.0,464,leader,3
23,4,1.0,38.0,211,member,9
23,5,4.0,5.0,27,member,1
23,6,50.0,3.0,75,isolated,6
23,7,22.0,2.0,121,isolated,7
23,8,34.0,33.0,210,member,3
23,9,11.0,39.0,166,leader,9
24,1,2.0,3.0,273,leader,1
24,2,12.0,45.0,210,member,9
24,3,35.0,45.0,461,leader,3
24,4,1.0,38.0,210,member,9
24,5,4.0,5.0,26,member,1
24,6,50.0,3.0,74,isolated,6
24,7,22.0,2.0,120,isolated,7
24,8,34.0,33.0,209,member,3
24,9,11.0,39.0,163,leader,9
25,1,2.0,3.0,270,leader,1
25,2,12.0,45.0,209,member,9
25,3,35.0,45.0,458,leader,3
25,4,1.0,38.0,209,member,9
25,5,4.0,5.0,25,member,1
25,6,50.0,3.0,73,isolated,6
25,7,22.0,2.0,119,isolated,7
25,8,34.0,33.0,208,member,3
25,9,11.0,39.0,160,leader,9
26,1,2.0,3.0,267,leader,1
26,2,12.0,45.0,208,member,9
26,3,35.0,45.0,455,leader,3
26,4,1.0,38.0,208,member,9
26,5,4.0,5.0,24,member,1
26,6,50.0,3.0,72,isolated,6
26,7,22.0,2.0,118,isolated,7
26,8,34.0,33.0,207,member,3
26,9,11.0,39.0,157,leader,9
27,1,2.0,3.0,264,leader,1
27,2,12.0,45.0,207,member,9
27,3,35.0,45.0,452,leader,3
27,4,1.0,38.0,207,member,9
27,5,4.0,5.0,23,member,1
27,6,50.0,3.0,71,isolated,6
27,7,22.0,2.0,117,isolated,7
27,8,34.0,33.0,206,member,3
27,9,11.0,39.0,154,leader,9
28,1,2.0,3.0,261,leader,1
28,2,12.0,45.0,206,member,9
28,3,35.0,45.0,449,leader,3
28,4,1.0,38.0,206,member,9
28,5,4.0,5.0,22,member,1
28,6,50.0,3.0,70,isolated,6
28,7,22.0,2.0,116,isolated,7
28,8,34.0,33.0,205,member,3
28,9,11.0,39.0,151,leader,9
29,1,2.0,3.0,258,leader,1
29,2,12.0,45.0,205,member,9
29,3,35.0,45.0,446,leader,3
29,4,1.0,38.0,205,member,9
29,5,4.0,5.0,21,member,1
29,6,50.0,3.0,69,isolated,6
29,7,22.0,2.0,115,isolated,7
29,8,34.0,33.0,204,member,3
29,9,11.0,39.0,148,leader,9
30,1,2.0,3.0,255,leader,1
30,2,12.0,45.0,204,member,9
30,3,35.0,45.0,443,leader,3
30,4,1.0,38.0,204,member,9
30,5,4.0,5.0,20,member,1
30,6,50.0,3.0,68,isolated,6
30,7,22.0,2.0,114,isolated,7
30,8,34.0,33.0,203,member,3
30,9,11.0,39.0,145,leader,9
31,1,2.0,3.0,252,leader,1
31,2,12.0,45.0,203,member,9
31,3,35.0,45.0,440,leader,3
31,4,1.0,38.0,203,member,9
31,5,4.0,5.0,19,member,1
31,6,50.0,3.0,67,isolated,6
31,7,22.0,2.0,113,isolated,7
31,8,34.0,33.0,202,member,3
31,9,11.0,39.0,142,leader,9
32,1,2.0,3.0,249,leader,1
32,2,12.0,45.0,202,member,9
32,3,35.0,45.0,437,leader,3
32,4,1.0,38.0,202,member,9
32,5,4.0,5.0,18,member,1
32,6,50.0,3.0,66,isolated,6
32,7,22.0,2.0,112,isolated,7
32,8,34.0,33.0,201,member,3
32,9,11.0,39.0,139,leader,9
33,1,2.0,3.0,246,leader,1
33,2,12.0,45.0,201,member,9
33,3,35.0,45.0,434,leader,3
33,4,1.0,38.0,201,member,9
33,5,4.0,5.0,17,member,1
33,6,50.0,3.0,65,isolated,6
33,7,22.0,2.0,111,isolated,7
33,8,34.0,33.0,200,member,3
33,9,11.0,39.0,136,leader,9
34,1,2.0,3.0,243,leader,1
34,2,12.0,45.0,200,member,9
34,3,35.0,45.0,431,leader,3
34,4,1.0,38.0,200,member,9
34,5,4.0,5.0,16,member,1
34,6,50.0,3.0,64,isolated,6
34,7,22.0,2.0,110,isolated,7
34,8,34.0,33.0,199,member,3
34,9,11.0,39.0,133,leader,9
35,1,2.0,3.0,240,leader,1
35,2,12.0,45.0,199,member,9
35,3,35.0,45.0,428,leader,3
35,4,1.0,38.0,199,member,9
35,5,4.0,5.0,15,member,1
35,6,50.0,3.0,63,isolated,6
35,7,22.0,2.0,109,isolated,7
35,8,34.0,33.0,198,member,3
35,9,11.0,39.0,130,leader,9
36,1,2.0,3.0,237,leader,1
36,2,12.0,45.0,198,member,9
36,3,35.0,45.0,425,leader,3
36,4,1.0,38.0,198,member,9
36,5,4.0,5.0,14,member,1
36,6,50.0,3.0,62,isolated,6
36,7,22.0,2.0,108,isolated,7
36,8,34.0,33.0,197,member,3
36,9,11.0,39.0,127,leader,9
37,1,2.0,3.0,234,leader,1
37,2,12.0,45.0,197,member,9
37,3,35.0,45.0,422,leader,3
37,4,1.0,38.0,197,member,9
37,5,4.0,5.0,13,member,1
37,6,50.0,3.0,61,isolated,6
37,7,22.0,2.0,107,isolated,7
37,8,34.0,33.0,196,member,3
37,9,11.0,39.0,124,leader,9
38,1,2.0,3.0,231,leader,1
38,2,12.0,45.0,196,member,9
38,3,35.0,45.0,419,leader,3
38,4,1.0,38.0,196,member,9
38,5,4.0,5.0,12,member,1
38,6,50.0,3.0,60,isolated,6
38,7,22.0,2.0,106,isolated,7
38,8,34.0,33.0,195,member,3
38,9,11.0,39.0,121,leader,9
39,1,2.0,3.0,228,leader,1
39,2,12.0,45.0,195,member,9
39,3,35.0,45.0,416,leader,3
39,4,1.0,38.0,195,member,9
39,5,4.0,5.0,11,member,1
39,6,50.0,3.0,59,isolated,6
39,7,22.0,2.0,105,isolated,7
39,8,34.0,33.0,194,member,3
39,9,11.0,39.0,118,leader,9
40,1,2.0,3.0,225,leader,1
40,2,12.0,45.0,194,member,9
40,3,35.0,45.0,413,leader,3
40,4,1.0,38.0,194,member,9
40,5,4.0,5.0,10,member,1
40,6,50.0,3.0,58,isolated,6
40,7,22.0,2.0,104,isolated,7
40,8,34.0,33.0,193,member,3
40,9,11.0,39.0,115,leader,9
41,1,2.0,3.0,222,leader,1
41,2,12.0,45.0,193,member,9
41,3,35.0,45.0,410,leader,3
41,4,1.0,38.0,193,member,9
41,5,4.0,5.0,9,member,1
41,6,50.0,3.0,57,isolated,6
41,7,22.0,2.0,103,isolated,7
41,8,34.0,33.0,192,member,3
41,9,11.0,39.0,112,leader,9
42,1,2.0,3.0,219,leader,1
42,2,12.0,45.0,192,member,9
42,3,35.0,45.0,407,leader,3
42,4,1.0,38.0,192,member,9
42,5,4.0,5.0,8,member,1
42,6,50.0,3.0,56,isolated,6
42,7,22.0,2.0,102,isolated,7
42,8,34.0,33.0,191,member,3
42,9,11.0,39.0,109,leader,9
43,1,2.0,3.0,216,leader,1
43,2,12.0,45.0,191,member,9
43,3,35.0,45.0,404,leader,3
43,4,1.0,38.0,191,member,9
43,5,4.0,5.0,7,member,1
43,6,50.0,3.0,55,isolated,6
43,7,22.0,2.0,101,isolated,7
43,8,34.0,33.0,190,member,3
43,9,11.0,39.0,106,leader,9
44,1,2.0,3.0,213,leader,1
44,2,12.0,45.0,190,member,9
44,3,35.0,45.0,401,leader,3
44,4,1.0,38.0,190,member,9
44,5,4.0,5.0,6,member,1
44,6,50.0,3.0,54,isolated,6
44,7,22.0,2.0,100,isolated,7
44,8,34.0,33.0,189,member,3
44,9,11.0,39.0,103,leader,9
45,1,2.0,3.0,210,leader,1
45,2,12.0,45.0,189,member,9
45,3,35.0,45.0,398,leader,3
45,4,1.0,38.0,189,member,9
45,5,4.0,5.0,5,member,1
45,6,50.0,3.0,53,isolated,6
45,7,22.0,2.0,99,isolated,7
45,8,34.0,33.0,188,member,3
45,9,11.0,39.0,100,leader,9
46,1,2.0,3.0,207,leader,1
46,2,12.0,45.0,188,member,9
46,3,35.0,45.0,395,leader,3
46,4,1.0,38.0,188,member,9
46,5,4.0,5.0,4,member,1
46,6,50.0,3.0,52,isolated,6
46,7,22.0,2.0,98,isolated,7
46,8,34.0,33.0,187,member,3
46,9,11.0,39.0,97,leader,9
47,1,2.0,3.0,204,leader,1
47,2,12.0,45.0,187,member,9
47,3,35.0,45.0,392,leader,3
47,4,1.0,38.0,187,member,9
47,5,4.0,5.0,3,member,1
47,6,50.0,3.0,51,isolated,6
47,7,22.0,2.0,97,isolated,7
47,8,34.0,33.0,186,member,3
47,9,11.0,39.0,94,leader,9
48,1,2.0,3.0,201,leader,1
48,2,12.0,45.0,186,member,9
48,3,35.0,45.0,389,leader,3
48,4,1.0,38.0,186,member,9
48,5,4.0,5.0,2,member,1
48,6,50.0,3.0,50,isolated,6
48,7,22.0,2.0,96,isolated,7
48,8,34.0,33.0,185,member,3
48,9,11.0,39.0,91,leader,9
49,1,2.0,3.0,198,leader,1
49,2,12.0,45.0,185,member,9
49,3,35.0,45.0,386,leader,3
49,4,1.0,38.0,185,member,9
49,5,4.0,5.0,1,member,1
49,6,50.0,3.0,49,isolated,6
49,7,22.0,2.0,95,isolated,7
49,8,34.0,33.0,184,member,3
49,9,11.0,39.0,88,leader,9
50,1,2.0,3.0,195,leader,1
50,2,12.0,45.0,184,member,9
50,3,35.0,45.0,383,leader,3
50,4,1.0,38.0,184,member,9
50,6,50.0,3.0,48,isolated,6
50,7,22.0,2.0,94,isolated,7
50,8,34.0,33.0,183,member,3
50,9,11.0,39.0,85,leader,9
51,1,2.0,3.0,192,leader,1
51,2,12.0,45.0,183,member,9
51,3,35.0,45.0,380,leader,3
51,4,1.0,38.0,183,member,9
51,6,50.0,3.0,47,isolated,6
51,7,22.0,2.0,93,isolated,7
51,8,34.0,33.0,182,member,3
51,9,11.0,39.0,82,leader,9
52,1,2.0,3.0,189,leader,1
52,2,12.0,45.0,182,member,9
52,3,35.0,45.0,377,leader,3
52,4,1.0,38.0,182,member,9
52,6,50.0,3.0,46,isolated,6
52,7,22.0,2.0,92,isolated,7
52,8,34.0,33.0,181,member,3
52,9,11.0,39.0,79,leader,9
53,1,2.0,3.0,186,leader,1
53,2,12.0,45.0,181,member,9
53,3,35.0,45.0,374,leader,3
53,4,1.0,38.0,181,member,9
53,6,50.0,3.0,45,isolated,6
53,7,22.0,2.0,91,isolated,7
53,8,34.0,33.0,180,member,3
53,9,11.0,39.0,76,leader,9
54,1,2.0,3.0,183,leader,1
54,2,12.0,45.0,180,member,9
54,3,35.0,45.0,371,leader,3
54,4,1.0,38.0,180,member,9
54,6,50.0,3.0,44,isolated,6
54,7,22.0,2.0,90,isolated,7
54,8,34.0,33.0,179,member,3
54,9,11.0,39.0,73,leader,9
55,1,2.0,3.0,180,leader,1
55,2,12.0,45.0,179,member,9
55,3,35.0,45.0,368,leader,3
55,4,1.0,38.0,179,member,9
55,6,50.0,3.0,43,isolated,6
55,7,22.0,2.0,89,isolated,7
55,8,34.0,33.0,178,member,3
55,9,11.0,39.0,70,leader,9
56,1,2.0,3.0,177,leader,1
56,2,12.0,45.0,178,member,9
56,3,35.0,45.0,365,leader,3
56,4,1.0,38.0,178,member,9
56,6,50.0,3.0,42,isolated,6
56,7,22.0,2.0,88,isolated,7
56,8,34.0,33.0,177,member,3
56,9,11.0,39.0,67,leader,9
57,1,2.0,3.0,174,leader,1
57,2,12.0,45.0,177,member,9
57,3,35.0,45.0,362,leader,3
57,4,1.0,38.0,177,member,9
57,6,50.0,3.0,41,isolated,6
57,7,22.0,2.0,87,isolated,7
57,8,34.0,33.0,176,member,3
57,9,11.0,39.0,64,leader,9
58,1,2.0,3.0,171,leader,1
58,2,12.0,45.0,176,member,9
58,3,35.0,45.0,359,leader,3
58,4,1.0,38.0,176,member,9
58,6,50.0,3.0,40,isolated,6
58,7,22.0,2.0,86,isolated,7
58,8,34.0,33.0,175,member,3
58,9,11.0,39.0,61,leader,9
59,1,2.0,3.0,168,leader,1
59,2,12.0,45.0,175,member,9
59,3,35.0,45.0,356,leader,3
59,4,1.0,38.0,175,member,9
59,6,50.0,3.0,39,isolated,6
59,7,22.0,2.0,85,isolated,7
59,8,34.0,33.0,174,member,3
59,9,11.0,39.0,58,leader,9
60,1,2.0,3.0,165,leader,1
60,2,12.0,45.0,174,member,9
60,3,35.0,45.0,353,leader,3
60,4,1.0,38.0,174,member,9
60,6,50.0,3.0,38,isolated,6
60,7,22.0,2.0,84,isolated,7
60,8,34.0,33.0,173,member,3
60,9,11.0,39.0,55,leader,9
61,1,2.0,3.0,162,leader,1
61,2,12.0,45.0,173,member,9
61,3,35.0,45.0,350,leader,3
61,4,1.0,38.0,173,member,9
61,6,50.0,3.0,37,isolated,6
61,7,22.0,2.0,83,isolated,7
61,8,34.0,33.0,172,member,3
61,9,11.0,39.0,52,leader,9
62,1,2.0,3.0,159,leader,1
62,2,12.0,45.0,172,member,9
62,3,35.0,45.0,347,leader,3
62,4,1.0,38.0,172,member,9
62,6,50.0,3.0,36,isolated,6
62,7,22.0,2.0,82,isolated,7
62,8,34.0,33.0,171,member,3
62,9,11.0,39.0,49,leader,9
63,1,2.0,3.0,156,leader,1
63,2,12.0,45.0,171,member,9
63,3,35.0,45.0,344,leader,3
63,4,1.0,38.0,171,member,9
63,6,50.0,3.0,35,isolated,6
63,7,22.0,2.0,81,isolated,7
63,8,34.0,33.0,170,member,3
63,9,11.0,39.0,46,leader,9
64,1,2.0,3.0,153,leader,1
64,2,12.0,45.0,170,member,9
64,3,35.0,45.0,341,leader,3
64,4,1.0,38.0,170,member,9
64,6,50.0,3.0,34,isolated,6
64,7,22.0,2.0,80,isolated,7
64,8,34.0,33.0,169,member,3
64,9,11.0,39.0,43,leader,9
65,1,2.0,3.0,150,leader,1
