tick,node_id,x,y,energy,role,cluster_id
0,1,5.0,5.0,800,leader,1
0,2,10.0,10.0,600,member,1
0,3,15.0,8.0,750,member,1
0,4,8.0,18.0,500,member,1
0,5,20.0,20.0,400,isolated,5
0,6,50.0,50.0,900,leader,6
0,7,55.0,52.0,700,member,6
0,8,60.0,48.0,650,member,6
0,9,58.0,60.0,300,member,6
0,10,100.0,100.0,200,leader,10
0,11,95.0,95.0,180,member,10
0,12,30.0,70.0,420,leader,12
0,13,35.0,72.0,380,member,12
0,14,40.0,68.0,360,member,12
1,1,5.0,5.0,797,leader,1
1,2,10.0,10.0,599,member,1
1,3,15.0,8.0,749,member,1
1,4,8.0,18.0,499,member,1
1,5,20.0,20.0,399,isolated,5
1,6,50.0,50.0,897,leader,6
1,7,55.0,52.0,699,member,6
1,8,60.0,48.0,649,member,6
1,9,58.0,60.0,299,member,6
1,10,100.0,100.0,197,leader,10
1,11,95.0,95.0,179,member,10
1,12,30.0,70.0,417,leader,12
1,13,35.0,72.0,379,member,12
1,14,40.0,68.0,359,member,12
2,1,5.0,5.0,794,leader,1
2,2,10.0,10.0,598,member,1
2,3,15.0,8.0,748,member,1
2,4,8.0,18.0,498,member,1
2,5,20.0,20.0,398,isolated,5
2,6,50.0,50.0,894,leader,6
2,7,55.0,52.0,698,member,6
2,8,60.0,48.0,648,member,6
2,9,58.0,60.0,298,member,6
2,10,100.0,100.0,194,leader,10
2,11,95.0,95.0,178,member,10
2,12,30.0,70.0,414,leader,12
2,13,35.0,72.0,378,member,12
2,14,40.0,68.0,358,member,12
3,1,5.0,5.0,791,leader,1
3,2,10.0,10.0,597,member,1
3,3,15.0,8.0,747,member,1
3,4,8.0,18.0,497,member,1
3,5,20.0,20.0,397,isolated,5
3,6,50.0,50.0,891,leader,6
3,7,55.0,52.0,697,member,6
3,8,60.0,48.0,647,member,6
3,9,58.0,60.0,297,member,6
3,10,100.0,100.0,191,leader,10
3,11,95.0,95.0,177,member,10
3,12,30.0,70.0,411,leader,12
3,13,35.0,72.0,377,member,12
3,14,40.0,68.0,357,member,12
4,1,5.0,5.0,788,leader,1
4,2,10.0,10.0,596,member,1
4,3,15.0,8.0,746,member,1
4,4,8.0,18.0,496,member,1
4,5,20.0,20.0,396,isolated,5
4,6,50.0,50.0,888,leader,6
4,7,55.0,52.0,696,member,6
4,8,60.0,48.0,646,member,6
4,9,58.0,60.0,296,member,6
4,10,100.0,100.0,188,leader,10
4,11,95.0,95.0,176,member,10
4,12,30.0,70.0,408,leader,12
4,13,35.0,72.0,376,member,12
4,14,40.0,68.0,356,member,12
5,1,5.0,5.0,785,leader,1
5,2,10.0,10.0,595,member,1
5,3,15.0,8.0,745,member,1
5,4,8.0,18.0,495,member,1
5,5,20.0,20.0,395,isolated,5
5,6,50.0,50.0,885,leader,6
5,7,55.0,52.0,695,member,6
5,8,60.0,48.0,645,member,6
5,9,58.0,60.0,295,member,6
5,10,100.0,100.0,185,leader,10
5,11,95.0,95.0,175,member,10
5,12,30.0,70.0,405,leader,12
5,13,35.0,72.0,375,member,12
5,14,40.0,68.0,355,member,12
6,1,5.0,5.0,782,leader,1
6,2,10.0,10.0,594,member,1
6,3,15.0,8.0,744,member,1
6,4,8.0,18.0,494,member,1
6,5,20.0,20.0,394,isolated,5
6,6,50.0,50.0,882,leader,6
6,7,55.0,52.0,694,member,6
6,8,60.0,48.0,644,member,6
6,9,58.0,60.0,294,member,6
6,10,100.0,100.0,182,leader,10
6,11,95.0,95.0,174,member,10
6,12,30.0,70.0,402,leader,12
6,13,35.0,72.0,374,member,12
6,14,40.0,68.0,354,member,12
7,1,5.0,5.0,779,leader,1
7,2,10.0,10.0,593,member,1
7,3,15.0,8.0,743,member,1
7,4,8.0,18.0,493,member,1
7,5,20.0,20.0,393,isolated,5
7,6,50.0,50.0,879,leader,6
7,7,55.0,52.0,693,member,6
7,8,60.0,48.0,643,member,6
7,9,58.0,60.0,293,member,6
7,10,100.0,100.0,179,leader,10
7,11,95.0,95.0,173,member,10
7,12,30.0,70.0,399,leader,12
7,13,35.0,72.0,373,member,12
7,14,40.0,68.0,353,member,12
8,1,5.0,5.0,776,leader,1
8,2,10.0,10.0,592,member,1
8,3,15.0,8.0,742,member,1
8,4,8.0,18.0,492,member,1
8,5,20.0,20.0,392,isolated,5
8,6,50.0,50.0,876,leader,6
8,7,55.0,52.0,692,member,6
8,8,60.0,48.0,642,member,6
8,9,58.0,60.0,292,member,6
8,10,100.0,100.0,176,leader,10
8,11,95.0,95.0,172,member,10
8,12,30.0,70.0,396,leader,12
8,13,35.0,72.0,372,member,12
8,14,40.0,68.0,352,member,12
9,1,5.0,5.0,773,leader,1
9,2,10.0,10.0,591,member,1
9,3,15.0,8.0,741,member,1
9,4,8.0,18.0,491,member,1
9,5,20.0,20.0,391,isolated,5
9,6,50.0,50.0,873,leader,6
9,7,55.0,52.0,691,member,6
9,8,60.0,48.0,641,member,6
9,9,58.0,60.0,291,member,6
9,10,100.0,100.0,173,leader,10
9,11,95.0,95.0,171,member,10
