tick,node_id,x,y,energy,role,cluster_id
0,1,0.0,0.0,1000,leader,1
0,2,5.0,5.0,10,member,1
0,3,10.0,0.0,15,member,1
0,4,0.0,10.0,12,member,1
0,5,7.0,7.0,8,member,1
0,6,100.0,100.0,500,leader,6
0,7,105.0,98.0,490,member,6
0,8,110.0,100.0,480,member,6
0,9,103.0,107.0,460,member,6
0,10,108.0,105.0,440,member,6
0,11,50.0,50.0,5,member,12
0,12,55.0,52.0,6,leader,12
1,1,0.0,0.0,997,leader,1
1,2,5.0,5.0,9,member,1
1,3,10.0,0.0,14,member,1
1,4,0.0,10.0,11,member,1
1,5,7.0,7.0,7,member,1
1,6,100.0,100.0,497,leader,6
1,7,105.0,98.0,489,member,6
1,8,110.0,100.0,479,member,6
1,9,103.0,107.0,459,member,6
1,10,108.0,105.0,439,member,6
1,11,50.0,50.0,4,member,12
1,12,55.0,52.0,3,leader,12
2,1,0.0,0.0,994,leader,1
2,2,5.0,5.0,8,member,1
2,3,10.0,0.0,13,member,1
2,4,0.0,10.0,10,member,1
2,5,7.0,7.0,6,member,1
2,6,100.0,100.0,494,leader,6
2,7,105.0,98.0,488,member,6
2,8,110.0,100.0,478,member,6
2,9,103.0,107.0,458,member,6
2,10,108.0,105.0,438,member,6
2,11,50.0,50.0,1,leader,11
2,12,55.0,52.0,0,leader,12
3,1,0.0,0.0,991,leader,1
3,2,5.0,5.0,7,member,1
3,3,10.0,0.0,12,member,1
3,4,0.0,10.0,9,member,1
3,5,7.0,7.0,5,member,1
3,6,100.0,100.0,491,leader,6
3,7,105.0,98.0,487,member,6
3,8,110.0,100.0,477,member,6
3,9,103.0,107.0,457,member,6
3,10,108.0,105.0,437,member,6
3,11,50.0,50.0,0,leader,11
4,1,0.0,0.0,988,leader,1
4,2,5.0,5.0,6,member,1
4,3,10.0,0.0,11,member,1
4,4,0.0,10.0,8,member,1
4,5,7.0,7.0,4,member,1
4,6,100.0,100.0,488,leader,6
4,7,105.0,98.0,486,member,6
4,8,110.0,100.0,476,member,6
4,9,103.0,107.0,456,member,6
4,10,108.0,105.0,436,member,6
5,1,0.0,0.0,985,leader,1
5,2,5.0,5.0,5,member,1
5,3,10.0,0.0,10,member,1
5,4,0.0,10.0,7,member,1
5,5,7.0,7.0,3,member,1
5,6,100.0,100.0,485,leader,6
5,7,105.0,98.0,485,member,6
5,8,110.0,100.0,475,member,6
5,9,103.0,107.0,455,member,6
5,10,108.0,105.0,435,member,6
6,1,0.0,0.0,982,leader,1
6,2,5.0,5.0,4,member,1
6,3,10.0,0.0,9,member,1
6,4,0.0,10.0,6,member,1
6,5,7.0,7.0,2,member,1
6,6,100.0,100.0,482,leader,6
6,7,105.0,98.0,484,member,6
6,8,110.0,100.0,474,member,6
6,9,103.0,107.0,454,member,6
6,10,108.0,105.0,434,member,6
7,1,0.0,0.0,979,leader,1
7,2,5.0,5.0,3,member,1
7,3,10.0,0.0,8,member,1
7,4,0.0,10.0,5,member,1
7,5,7.0,7.0,1,member,1
7,6,100.0,100.0,479,leader,6
7,7,105.0,98.0,483,member,6
7,8,110.0,100.0,473,member,6
7,9,103.0,107.0,453,member,6
7,10,108.0,105.0,433,member,6
8,1,0.0,0.0,976,leader,1
8,2,5.0,5.0,2,member,1
8,3,10.0,0.0,7,member,1
8,4,0.0,10.0,4,member,1
8,6,100.0,100.0,476,leader,6
8,7,105.0,98.0,482,member,6
8,8,110.0,100.0,472,member,6
8,9,103.0,107.0,452,member,6
8,10,108.0,105.0,432,member,6
8,5,7.0,7.0,0,member,1
9,1,0.0,0.0,973,leader,1
9,2,5.0,5.0,1,member,1
9,3,10.0,0.0,6,member,1
9,4,0.0,10.0,3,member,1
9,6,100.0,100.0,473,leader,6
9,7,105.0,98.0,481,member,6
9,8,110.0,100.0,471,member,6
9,9,103.0,107.0,451,member,6
9,10,108.0,105.0,431,member,6
10,1,0.0,0.0,970,leader,1
10,3,10.0,0.0,5,member,1
10,4,0.0,10.0,2,member,1
10,6,100.0,100.0,470,leader,6
10,7,105.0,98.0,480,member,6
10,8,110.0,100.0,470,member,6
10,9,103.0,107.0,450,member,6
10,10,108.0,105.0,430,member,6
10,2,5.0,5.0,0,member,1
11,1,0.0,0.0,967,leader,1
11,3,10.0,0.0,4,member,1
11,4,0.0,10.0,1,member,1
11,6,100.0,100.0,467,leader,6
11,7,105.0,98.0,479,member,6
11,8,110.0,100.0,469,member,6
11,9,103.0,107.0,449,member,6
11,10,108.0,105.0,429,member,6
12,1,0.0,0.0,964,leader,1
12,3,10.0,0.0,3,member,1
12,6,100.0,100.0,464,leader,6
12,7,105.0,98.0,478,member,6
12,8,110.0,100.0,468,member,6
12,9,103.0,107.0,448,member,6
12,10,108.0,105.0,428,member,6
12,4,0.0,10.0,0,member,1
13,1,0.0,0.0,961,leader,1
13,3,10.0,0.0,2,member,1
13,6,100.0,100.0,461,leader,6
13,7,105.0,98.0,477,member,6
13,8,110.0,100.0,467,member,6
13,9,103.0,107.0,447,member,6
13,10,108.0,105.0,427,member,6
14,1,0.0,0.0,958,leader,1
14,3,10.0,0.0,1,member,1
14,6,100.0,100.0,458,leader,6
14,7,105.0,98.0,476,member,6
14,8,110.0,100.0,466,member,6
14,9,103.0,107.0,446,member,6
14,10,108.0,105.0,426,member,6
15,1,0.0,0.0,955,leader,1
15,6,100.0,100.0,455,leader,6
15,7,105.0,98.0,475,member,6
15,8,110.0,100.0,465,member,6
15,9,103.0,107.0,445,member,6
15,10,108.0,105.0,425,member,6
15,3,10.0,0.0,0,member,1
16,1,0.0,0.0,952,leader,1
16,6,100.0,100.0,452,leader,6
